"X";"game";"player";"color";"move";"turn"
3019;46;"Euwe, Max";"White";"Bc4";5
3020;46;"Kroone, Gerard";"Black";"Bc5";6
3021;46;"Euwe, Max";"White";"c3";7
3022;46;"Kroone, Gerard";"Black";"Nf6";8
3023;46;"Euwe, Max";"White";"d4";9
3024;46;"Kroone, Gerard";"Black";"exd4";10
3100;47;"Davidson, Jacques";"White";"e4";1
3101;47;"Te Kolste, Jan Willem";"Black";"e5";2
3102;47;"Davidson, Jacques";"White";"Nf3";3
3103;47;"Te Kolste, Jan Willem";"Black";"Nc6";4
3104;47;"Davidson, Jacques";"White";"Bc4";5
3105;47;"Te Kolste, Jan Willem";"Black";"Nf6";6
3106;47;"Davidson, Jacques";"White";"d3";7
3107;47;"Te Kolste, Jan Willem";"Black";"Bc5";8
3108;47;"Davidson, Jacques";"White";"c3";9
3109;47;"Te Kolste, Jan Willem";"Black";"d6";10
3140;48;"Gruber, Sandor";"White";"e4";1
3141;48;"Leonhardt, Paul S";"Black";"e5";2
3142;48;"Gruber, Sandor";"White";"Nf3";3
3143;48;"Leonhardt, Paul S";"Black";"Nc6";4
3144;48;"Gruber, Sandor";"White";"Bc4";5
3145;48;"Leonhardt, Paul S";"Black";"Bc5";6
3146;48;"Gruber, Sandor";"White";"c3";7
3147;48;"Leonhardt, Paul S";"Black";"Nf6";8
3148;48;"Gruber, Sandor";"White";"d4";9
3149;48;"Leonhardt, Paul S";"Black";"exd4";10
3349;52;"Grob, Henry";"White";"e4";1
3350;52;"Naegeli, Oskar";"Black";"e5";2
3351;52;"Grob, Henry";"White";"Nf3";3
3352;52;"Naegeli, Oskar";"Black";"Nc6";4
3353;52;"Grob, Henry";"White";"Bc4";5
3354;52;"Naegeli, Oskar";"Black";"Bc5";6
3355;52;"Grob, Henry";"White";"O-O";7
3356;52;"Naegeli, Oskar";"Black";"Nf6";8
3357;52;"Grob, Henry";"White";"c3";9
3358;52;"Naegeli, Oskar";"Black";"Nxe4";10
3497;53;"Gallegos, Luis";"White";"e4";1
3498;53;"Gonzalez, Vicente";"Black";"e5";2
3499;53;"Gallegos, Luis";"White";"Nf3";3
3500;53;"Gonzalez, Vicente";"Black";"Nc6";4
3501;53;"Gallegos, Luis";"White";"Bc4";5
3502;53;"Gonzalez, Vicente";"Black";"Nf6";6
3503;53;"Gallegos, Luis";"White";"O-O";7
3504;53;"Gonzalez, Vicente";"Black";"Bc5";8
3505;53;"Gallegos, Luis";"White";"c3";9
3506;53;"Gonzalez, Vicente";"Black";"Bb6";10
3577;54;"Maderna, Carlos H";"White";"e4";1
3578;54;"Michel, Pablo";"Black";"e5";2
3579;54;"Maderna, Carlos H";"White";"Nf3";3
3580;54;"Michel, Pablo";"Black";"Nc6";4
3581;54;"Maderna, Carlos H";"White";"Bc4";5
3582;54;"Michel, Pablo";"Black";"Bc5";6
3583;54;"Maderna, Carlos H";"White";"c3";7
3584;54;"Michel, Pablo";"Black";"Nf6";8
3585;54;"Maderna, Carlos H";"White";"d4";9
3586;54;"Michel, Pablo";"Black";"exd4";10
3608;55;"Maderna, Carlos H";"White";"e4";1
3609;55;"Garcia Vera, Romeo";"Black";"e5";2
3610;55;"Maderna, Carlos H";"White";"Nf3";3
3611;55;"Garcia Vera, Romeo";"Black";"Nc6";4
3612;55;"Maderna, Carlos H";"White";"Bc4";5
3613;55;"Garcia Vera, Romeo";"Black";"Nf6";6
3614;55;"Maderna, Carlos H";"White";"d3";7
3615;55;"Garcia Vera, Romeo";"Black";"Bc5";8
3616;55;"Maderna, Carlos H";"White";"c3";9
3617;55;"Garcia Vera, Romeo";"Black";"Bb6";10
3756;56;"Reinhardt, Enrique H";"White";"e4";1
3757;56;"Maccioni, Alejandro";"Black";"e5";2
3758;56;"Reinhardt, Enrique H";"White";"Nf3";3
3759;56;"Maccioni, Alejandro";"Black";"Nc6";4
3760;56;"Reinhardt, Enrique H";"White";"Bc4";5
3761;56;"Maccioni, Alejandro";"Black";"Bc5";6
3762;56;"Reinhardt, Enrique H";"White";"c3";7
3763;56;"Maccioni, Alejandro";"Black";"Nf6";8
3764;56;"Reinhardt, Enrique H";"White";"d4";9
3765;56;"Maccioni, Alejandro";"Black";"exd4";10
3931;61;"Najdorf, Miguel";"White";"e4";1
3932;61;"Maderna, Carlos H";"Black";"e5";2
3933;61;"Najdorf, Miguel";"White";"Nf3";3
3934;61;"Maderna, Carlos H";"Black";"Nc6";4
3935;61;"Najdorf, Miguel";"White";"Bc4";5
3936;61;"Maderna, Carlos H";"Black";"Bc5";6
3937;61;"Najdorf, Miguel";"White";"c3";7
3938;61;"Maderna, Carlos H";"Black";"Nf6";8
3939;61;"Najdorf, Miguel";"White";"d3";9
3940;61;"Maderna, Carlos H";"Black";"d6";10
4041;63;"Corte, Cesar J";"White";"e4";1
4042;63;"Martin, Pedro";"Black";"e5";2
4043;63;"Corte, Cesar J";"White";"Nf3";3
4044;63;"Martin, Pedro";"Black";"Nc6";4
4045;63;"Corte, Cesar J";"White";"Bc4";5
4046;63;"Martin, Pedro";"Black";"Bc5";6
4047;63;"Corte, Cesar J";"White";"c3";7
4048;63;"Martin, Pedro";"Black";"Nf6";8
4049;63;"Corte, Cesar J";"White";"d4";9
4050;63;"Martin, Pedro";"Black";"exd4";10
4175;64;"Corte, Cesar J";"White";"e4";1
4176;64;"Michel, Pablo";"Black";"e5";2
4177;64;"Corte, Cesar J";"White";"Nf3";3
4178;64;"Michel, Pablo";"Black";"Nc6";4
4179;64;"Corte, Cesar J";"White";"Bc4";5
4180;64;"Michel, Pablo";"Black";"Bc5";6
4181;64;"Corte, Cesar J";"White";"c3";7
4182;64;"Michel, Pablo";"Black";"Nf6";8
4183;64;"Corte, Cesar J";"White";"d4";9
4184;64;"Michel, Pablo";"Black";"exd4";10
4231;65;"Rossolimo, Nicholas";"White";"e4";1
4232;65;"Unzicker, Wolfgang";"Black";"e5";2
4233;65;"Rossolimo, Nicholas";"White";"Nf3";3
4234;65;"Unzicker, Wolfgang";"Black";"Nc6";4
4235;65;"Rossolimo, Nicholas";"White";"Bc4";5
4236;65;"Unzicker, Wolfgang";"Black";"Bc5";6
4237;65;"Rossolimo, Nicholas";"White";"c3";7
4238;65;"Unzicker, Wolfgang";"Black";"Nf6";8
4239;65;"Rossolimo, Nicholas";"White";"d4";9
4240;65;"Unzicker, Wolfgang";"Black";"exd4";10
4315;66;"Gligoric, Svetozar";"White";"e4";1
4316;66;"Kramer, Haije J";"Black";"e5";2
4317;66;"Gligoric, Svetozar";"White";"Nf3";3
4318;66;"Kramer, Haije J";"Black";"Nc6";4
4319;66;"Gligoric, Svetozar";"White";"Bc4";5
4320;66;"Kramer, Haije J";"Black";"Bc5";6
4321;66;"Gligoric, Svetozar";"White";"c3";7
4322;66;"Kramer, Haije J";"Black";"Nf6";8
4323;66;"Gligoric, Svetozar";"White";"d4";9
4324;66;"Kramer, Haije J";"Black";"exd4";10
4446;67;"Rossolimo, Nicholas";"White";"e4";1
4447;67;"Dunkelblum, Arthur";"Black";"e5";2
